airport_id,airport_code,airport_name,city,state
326,SEA,,Seattle, WA,WA
327,SFB,,Sanford, FL,FL
328,SFO,,San Francisco, CA,CA
329,SGF,,Springfield, MO,MO
330,SGU,,St. George, UT,UT
331,SHD,,Staunton, VA,VA
332,SHV,,Shreveport, LA,LA
333,SIT,,Sitka, AK,AK
334,SJC,,San Jose, CA,CA
335,SJT,,San Angelo, TX,TX
336,SJU,,San Juan, PR,PR
337,SLC,,Salt Lake City, UT,UT
338,SLN,,Salina, KS,KS
339,SMF,,Sacramento, CA,CA
340,SMX,,Santa Maria, CA,CA
341,SNA,,Santa Ana, CA,CA
342,SPI,,Springfield, IL,IL
343,SPN,,Saipan, TT,TT
344,SPS,,Wichita Falls, TX,TX
345,SRQ,,Sarasota/Bradenton, FL,FL
346,STC,,St. Cloud, MN,MN
347,STL,,St. Louis, MO,MO
348,STS,,Santa Rosa, CA,CA
349,STT,,Charlotte Amalie, VI,VI
350,STX,,Christiansted, VI,VI
351,SUN,,Sun Valley/Hailey/Ketchum, ID,ID
352,SUX,,Sioux City, IA,IA
353,SWF,,Newburgh/Poughkeepsie, NY,NY
354,SWO,,Stillwater, OK,OK
355,SYR,,Syracuse, NY,NY
356,TEX,,Telluride, CO,CO
357,TKI,,Tokeen, AK,AK
358,TLH,,Tallahassee, FL,FL
359,TOL,,Toledo, OH,OH
360,TPA,,Tampa, FL,FL
361,TRI,,Bristol/Johnson City/Kingsport, TN,TN
362,TTN,,Trenton, NJ,NJ
363,TUL,,Tulsa, OK,OK
364,TUP,,Tupelo, MS,MS
365,TUS,,Tucson, AZ,AZ
366,TVC,,Traverse City, MI,MI
367,TWF,,Twin Falls, ID,ID
368,TXK,,Texarkana, AR,AR
369,TYR,,Tyler, TX,TX
370,TYS,,Knoxville, TN,TN
371,UIN,,Quincy, IL,IL
372,USA,,CONCORD, NC,NC
373,UST,,St. Augustine, FL,FL
374,UTM,,Tunica, MS,MS
375,VEL,,Vernal, UT,UT
376,VLD,,Valdosta, GA,GA
377,VPS,,Valparaiso, FL,FL
378,WRG,,Wrangell, AK,AK
379,WYS,,West Yellowstone, MT,MT
380,XNA,,Fayetteville, AR,AR
381,XWA,,Williston, ND,ND
382,YAK,,Yakutat, AK,AK
383,YNG,,Youngstown/Warren, OH,OH
384,YUM,,Yuma, AZ,AZ
385,FNL,,Fort Collins/Loveland, CO,CO
